id,natoms,value_per_atom,value
PN_MCKVEQNTJFRUHOURCR2HCEB35KDFRETL,10,0.10174025,1.017402497
PN_FGGHB2NFWUCYD3YZO4FWN3QVOKCTVI6K,6,0.495980832,2.975884991
PN_BAO7ZSBZZCMA7PH7QMR7WLDI72GOELND,4,0.472130032,1.88852013
PN_4YR2JLVZHJLC3F2TYPTOVDBJJ52C6XIE,2,0.511412619,1.022825237
PN_H6P36AVAKDU244QNQGGCJ7YLC4A4F2YE,29,0.215061345,6.236779005
PN_ZYAHBKLTYXJOLYLD5YFTVBNOSDYIGR6J,10,-1.191376786,-11.91376786
PN_LPSIHXMY4PO3JLA6HT25TBUO3GTG6WUV,16,0.208685037,3.338960585
PN_UHJQ2SH2GXQ7QNGQO5WBAFRBBVHRU2KX,9,0.108836727,0.979530541
PN_AVCLYOZGXY4UAYGMVTDALSWZ6ADSTRLS,5,-0.809413062,-4.047065312
PN_R6Z4HO26474O43IIUBSFSOA2NTVFQPIJ,6,-0.000666376,-0.003998254
PN_7OK3KACOB6F3RRLJTWVVBYDZFINCNOIS,6,0.000355556,0.002133338
PN_ZDKNO2QVSUX4H46TI7XIY2SR75JR6I4L,3,-0.53385431,-1.601562931
PN_2THSMK54QTI4S5CDHJ5HHAJ2UZJXQI7E,4,-0.357259531,-1.429038122
PN_FTY5KDGIVVULUT4335IVJ6S7LBZZWZ3D,2,0.211933383,0.423866767
PN_7XT7P7PRRN2XYU7E6EMXOYTLRZYI4XZH,10,-1.145669894,-11.45669894
PN_GXXBTPYXX26PR5KZKA4XWFI7R2ZZWR6P,24,0.154750178,3.714004282
PN_HHZIQY6L4TQ2ACVIENG2OQA44XOCYAPS,6,-0.000440533,-0.002643198
PN_OMUYHQMIFAJICMZQFDJ65YPDNHSFQRK3,6,0.005837277,0.035023665
PN_EHHLOG6BPIOJ4UZDYH2Y6UH5UHHWTTEC,10,-1.192894606,-11.92894606
PN_BHUM6MV7PNVOPGJJTQQJPVOHU2LXXZ76,6,0.001088492,0.006530954
PN_HCRIS4VB2MV62YFZYVEDWOOGDZQLNK25,4,-0.090516059,-0.362064236
PN_HDASQCPBCGTE57FPWBFK2F5T4Z4UNLBN,2,-0.159807414,-0.319614827
PN_KHNXASAIZ6GQOSR2M4TPWF6E3CGEJLDI,4,-0.046150376,-0.184601504
PN_CFBYVTGSORFVECDSGSWJ5GNXEIDYLC5F,12,1.637144891,19.64573869
PN_56FOS35LNYTSZQQON5QSVO37GCNDGZ6X,2,-1.289351259,-2.578702518
PN_TXYJDUBC2VVQEK6PVTCQ2TCJONKITHPA,9,0.841127027,7.570143242
PN_CMZGAVG6M63RGRR4V7CEOZAR3KDI3DH5,2,-1.033263525,-2.06652705
PN_BPGTW25URYPIGNDEHBGETRZ3IAHCGO54,8,0.370080344,2.960642751
PN_HPCBQCF2XGSVGA724LZJU4ELIP43O6M6,6,-0.144917966,-0.869507796
PN_TPYEHLVI4LKEM5NQMVM6ENBZCUH5G7YF,2,1.207963595,2.41592719
PN_VU446KSTRJX7ITZQXIQZAUZ4V7HBISNU,16,-0.856549268,-13.70478828
PN_XKH7FJPJ7FB3PNEJXR4EQJEOBZS6WM23,4,0.904777322,3.619109288
PN_WYQAQAWHFYGHB7SL76ZVJDOHS22WLTRC,12,0.125388663,1.50466396
PN_TF767OEXZE22PZZWBUWZDKS7GHD7NENM,12,0.039395309,0.472743711
PN_6NXPEKRHML5UP7BBMDNIQ2CGEQSSXIVX,8,-0.419348582,-3.35478866
PN_WXBMZ5NJVVMZCQ6QFNGH52HJSA56V6TF,2,-0.165390872,-0.330781744
PN_DDN73VWNYHTMEX3YIGKNPF627GQO4EXM,2,-0.040179075,-0.08035815
PN_2UZGPYGYKF4TFMFC7DSVFICOVRCA3SIM,4,0.026584736,0.106338943
PN_F4LUS72N5MCIPRSR2C54IKAUTQXINJH4,3,-0.787995868,-2.363987605
PN_MMYMEBOUOZSZUBPHZAS44OCNPQ2LFPE6,6,0.028542983,0.171257899
PN_V4W4EAMWQFXAF5RHH3QZYUQAFXRFHGTI,3,0.303300873,0.90990262
PN_UZF43PJKMJ72BGGXEUNY3R6SWKR2V4MZ,6,-0.033609643,-0.20165786
